TargetID	DrugID	Highest_status	MOA
T70176	D07DTV	Phase 1	Inhibitor
T68334	D0H2UB	Phase 1	Antagonist
T49639	D09VWI	Phase 1	Modulator
T90648	D0F5JZ	Phase 1	Inhibitor
T80975	D0F5JZ	Phase 1	Inhibitor
T30081	D05GZD	Phase 1	Inhibitor
T83369	D05RBH	Phase 1	Modulator
T62820	D0TS8E	Phase 1	Modulator
T31479	D05GZD	Phase 1	Modulator
T02719	D0P0ZY	Phase 1	Modulator
T62820	D0P0ZY	Phase 1	Modulator
T54156	D0T4BL	Phase 1	Inhibitor
T03500	D0T4BL	Phase 1	Inhibitor
T68251	D0T4BL	Phase 1	Inhibitor
T47623	D0H2UB	Phase 1	Inhibitor
T40474	D03GTO	Phase 1	CAR-T-Cell-Therapy(Dual specific)
T99948	D03GTO	Phase 1	CAR-T-Cell-Therapy(Dual specific)
T73215	D0E8ZL	Phase 1	CAR-T-Cell-Therapy(Dual specific)
T37539	D09AXQ	Phase 1	CAR-T-Cell-Therapy(Dual specific)
T85529	D0QE4F	Phase 1	CAR-T-Cell-Therapy(Dual specific)
T40474	D0D1HI	Phase 1	CAR-T-Cell-Therapy
T14597	D06XWD	Phase 1	CAR-T-Cell-Therapy
T66693	D0U2PU	Phase 1	CAR-T-Cell-Therapy
T66693	D0NG3T	Phase 1	CAR-T-Cell-Therapy
T64969	D0B5PV	Phase 1	CAR-T-Cell-Therapy
T56365	D0M5II	Phase 1	CAR-T-Cell-Therapy
T05409	D08HKK	Phase 1	CAR-T-Cell-Therapy(Dual specific)
T56365	D0QE4F	Phase 1	CAR-T-Cell-Therapy(Dual specific)
T23953	D02MYI	Phase 1	CAR-T-Cell-Therapy
T16601	D0L6HU	Phase 1	CAR-T-Cell-Therapy
T18779	D06URX	Phase 1	CAR-T-Cell-Therapy
T87108	D0L7OJ	Phase 1	CAR-T-Cell-Therapy
T56365	D0MD8S	Phase 1	CAR-T-Cell-Therapy(Dual specific)
T87108	D0MD8S	Phase 1	CAR-T-Cell-Therapy(Dual specific)
T64969	D0ZQ6N	Phase 1	CAR-T-Cell-Therapy
